ID_Libro,Titulo,Autor-a,Año,Categoria_Principal,Enfoque_Especifico,Tipo_Documento,Etiquetas,ID_Drive,Link_Previsualizacion,Link_Descarga
LIB-001,ANDARES SINUANOS Y HABITUACIÓN ETNOGRÁFICA ,Jaime Arocha,2006,Antropologia,Antropologia,Documento Completo,,,,
LIB-002,Diario de una militancia,María Eugenia Vásquez P,2000,Estudios de Género,"Mujeres, conflicto armado y paz",Fragmento,"Conflicto Armado, Paz, Mujeres",,,
LIB-003,La Ciudad: Una historia global,Joel Kotkin,2006,Urbanismo,Urbanismo,Sexta Parte,,,,
LIB-004,Metropolis,Ben Wilson,2021,Urbanismo,Urbanismo,Capitulo 14: Megacity,,,,
LIB-005,FORMA Y POLÍTICA  DE LO URBANO,Francisco Colom González,2016,Urbanismo,Urbanismo,Introducción y Parte 1,,,,
LIB-006,Informalidad y Urbanismo Social en Medellín,Alejandro Echeverri Francesco M. Orsini,2011,Urbanismo,Urbanismo,Articulo,,,,
LIB-007,Seminario 11 ,Jacques Lacan,1973,Psicoanalisis,Psicoanalisis,Documento Completo,,,,
LIB-008,On Length: A Short History of Long Cinema,Tiago de Luca,2017,Cine,Cine,Ensayo,,,,
LIB-009,LOS MOTIVOS VISUALES EN EL CINE DE INGMAR BERGMAN,Diana González Martín,2019,Cine,Cine,Articulo,,,,
LIB-010,Biomecánica y Antropología Teatral: Meyerhold y Barba,Elaine Centeno Álvarez,2005,Artes Escénicas,Teatro,Articulo,Teatro,,,
LIB-011,EL FIN DEL MUNDO TAL Y COMO LO CONOCEMOS,Marta García Aller,2017,Economia,Economia,Fragmento,,,,
LIB-012,PENSAR DESDE EL LÍMITE. EN TORNO A KARL JASPERS ,Francesc Torralba,2004,Filosofia,Filosofia,Articulo,,,,
LIB-013,"Tejidos oníricos. Movilidad, capitalismo y biopolítica en Bogotá (1910-1930)",Santiago Castro-Gómez,2009,Filosofia,Filosofia,Documento Completo,,,,
LIB-014,Relatos  fronterizos,Ramón J. Sender,1970,Literatura,Literatura,Documento Completo,,,,
LIB-015,CONSTRUCTOS FLATLINE Materialismo gótico y teoría-ficción cibernética ,MARK FISHER,1999,Filosofia,Filosofia,Documento Completo,,,,
LIB-016,Adentro y Afuera La Sociabilidad Como Transformador del Paisaje Urbano Bogotá 1880 -1919 ,Alvaro Arcos Cerón ,2022,Urbanismo,Urbanismo,Tesis,,,,
LIB-017,El cuerpo ausente: Poéticas de la memoria,Laura Alejandra Rubio León,2013,Arte,Teoría del Arte,Tesis,Teoría del Arte,,,
LIB-018,"Afectos éticos, afectos estéticos. Tras el rastro de Spinoza.",Gerardo Fernández Bustos,2024,Filosofia,Filosofia,Articulo,,,,
